ID,Apellidos,Nombre,Dirección,Población,Teléfono,Móvil,Email,Observaciones,Sexo,Fecha Nacimiento,Estado Civil,Personas dependientes ,Desempleado,Profesión,Nivel académico,Ingresos mensuales,Ahorros,Peso Kg,Altura,Cabello,Ojos,Fumador,Salud,Afición1,Afición2,Característica1,Característica2,Valora1,Valora2,Fobias,Sexualidad,Disponible
1,AROCAS PASADAS,ESTEFANIA,"PADRÓ , 109",Bogotá ,938350521,###############################################################################################################################################################################################################################################################,africa@altecom.es,,Mujer,20/03/1964,Otros,0,FALSO,Administrativo/a,Bachillerato,"$1,500,000.00",,73,1.62,Castaño,Marrones,VERDADERO,Buena,Cine,TV,Sencillez,Ternura,Buen Humor,Realismo,,Bisexual,FALSO
2,VISO GILABERT,QUERALT,"CASA CORDELLAS , ",Bogotá ,936545115,###############################################################################################################################################################################################################################################################,agata@hotmail.com,,Mujer,13/12/1965,Otros,1,VERDADERO,Delineante,EGB,"$1,100,000.00",113000,98,1.55,Negro,Marrones,FALSO,Regular,Caminar,Música,Sencillez,Sinceridad,Serenidad,Buen Humor,,Heterosexual,VERDADERO
3,AYALA FERRERAS,JOAN,"DOCTOR FLEMING , 11",Medellín  ,936545115,###############################################################################################################################################################################################################################################################,,,Hombre,20/07/1969,Otros,5,FALSO,,Diplomado/a,"$1,500,000.00",,61,1.6,Negro,Otro,VERDADERO,Buena,Música,Cine,Sinceridad,Realismo,Buen Humor,Ternura,,No declarada,FALSO
4,BAEZ TEJADO,JOAN,"BERTRAND I SERRA , 11, 3R.",Bogotá ,938350521,,albatros@wandoo.es,,Hombre,23/07/1965,Separado/a,1,FALSO,Contable,Bachillerato,"$1,900,000.00",,70,1.8,Otros,Marrones,FALSO,Buena,Caminar,Música,Sinceridad,Inteligencia,Ternura,Sinceridad,,Homosexual,VERDADERO
5,BASTARDES SOTO,MARC,"CARRIÓ , 12, 5È A",Cali  ,938350521,,albert@intercom.es,,Hombre,16/10/1964,Soltero/a,2,FALSO,Dependiente/a,Elementales,"$1,100,000.00",,91,1.81,Negro,Azules,FALSO,Regular,Deporte,Deporte,Ternura,Fortaleza,Ternura,Romanticismo,La TV,Heterosexual,FALSO
6,ANGUERA VILAFRANCA,JOSEP,"PIRINEUS , 10",Cali  ,938755645,,alien@intercom.es,,Hombre,16/11/1958,Casado/a,1,FALSO,Estudiante,FP,"$500,000.00",,53,1.57,Negro,Verdes,FALSO,Regular,Cine,Deporte,Buen Humor,Fortaleza,Serenidad,Ternura,,Homosexual,VERDADERO
7,PASCUAL ALOY,ESTHER,"JACINT VERDAGUER , 43",Barranquilla,936520547,,amores@hotmail.com,,Mujer,20/03/1967,Divorciado/a,0,FALSO,,Diplomado/a,"$2,500,000.00",,60,1.57,Calvo,Otro,FALSO,Buena,TV,Cine,Inteligencia,Sinceridad,Romanticismo,Sinceridad,,Bisexual,FALSO
8,VALLÉS GIRVENT,LAURA,"NOU , 9, 2N.",Bogotá ,936565656,###############################################################################################################################################################################################################################################################,anabel@altecom.es,,Mujer,17/09/1966,Casado/a,3,VERDADERO,Conductor/a,EGB,$0.00,17500,70,1.72,Pelirrojo,Verdes,VERDADERO,Regular,Cine,Música,Romanticismo,Ternura,Sencillez,Realismo,,Heterosexual,FALSO
9,RAYA GARCIA,RAQUEL,"JACINT VERDAGUER , 52, 3R, 1A.",Medellín  ,###############################################################################################################################################################################################################################################################,,antiga@minorisa.es,,Mujer,10/10/1967,Casado/a,0,FALSO,Oficial,FP,"$800,000.00",,65,1.81,Rubio,Azules,FALSO,Regular,Deporte,Música,Sinceridad,Fortaleza,Alegría,Realismo,Los días lluviosos,Bisexual,VERDADERO
10,ANDREU CRUZ,JOAN,"JOAN MIRÓ , 10",Bogotá ,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,ballador@hotmail.com,,Hombre,29/05/1960,Otros,0,VERDADERO,Recepcionista,EGB,"$1,200,000.00",87800,99,1.62,Castaño,Otro,VERDADERO,Buena,Cine,TV,Alegría,Ternura,Romanticismo,Alegría,,No declarada,VERDADERO
11,BARALDÉS COMAS,MARIA ISABEL,"JAUME GALOBART , 12",Bogotá ,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,balladora@altecom.es,,Mujer,11/03/1968,Divorciado/a,1,VERDADERO,Diseñador/a,Elementales,"$8,000,000.00",71000,87,1.56,Otros,Otro,FALSO,Buena,Cine,Música,Fortaleza,Inteligencia,Buen Humor,Inteligencia,,Homosexual,VERDADERO
